number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_gap_penalty,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,system_attrs_tpe:relative_params:0,state,mean_val_acc,mean_gap,std_val,gap_penalty
33,0.833,2025-11-08 18:33:04.630157,2025-11-08 18:33:06.060154,0 days 00:00:01.429997,0.508426680222671,0.03259542337981791,512,6,72,0.08362714181862894,0.46773267285289843,520,63,0.00011329499208007088,0.06024936011206841,0.6831566946832096,4,,,,,"{""colsample_bytree"": 0.508426680222671, ""learning_rate"": 0.03259542337981791, ""max_bin"": 512, ""max_depth"": 6, ""min_child_samples"": 72, ""min_child_weight"": 0.08362714181862894, ""min_split_gain"": 0.46773267285289843, ""n_estimators"": 520, ""num_leaves"": 63, ""reg_alpha"": 0.00011329499208007088, ""reg_lambda"": 0.06024936011206841, ""subsample"": 0.6831566946832096, ""subsample_freq"": 4}",PRUNED,,,,
24,0.833,2025-11-08 18:32:45.348155,2025-11-08 18:32:46.668159,0 days 00:00:01.320004,0.6747488179001228,0.05400843091599804,256,6,109,0.07045405039613,1.0353716567294287,820,65,0.9162638829638206,0.00447167990123131,0.5851724246880003,2,0.0,0.048675000000000024,0.833,0.004347413023856846,,COMPLETE,0.833,0.048675000000000024,0.004347413023856846,0.0
45,0.833,2025-11-08 18:33:36.883155,2025-11-08 18:33:37.627155,0 days 00:00:00.744000,0.6028915400358656,0.04881995615711941,320,5,120,0.07123192372804456,0.6616618102022922,570,73,0.2600807288075284,0.5752228208384429,0.6611126633907757,1,,,,,"{""colsample_bytree"": 0.6028915400358656, ""learning_rate"": 0.04881995615711941, ""max_bin"": 320, ""max_depth"": 5, ""min_child_samples"": 120, ""min_child_weight"": 0.07123192372804456, ""min_split_gain"": 0.6616618102022922, ""n_estimators"": 570, ""num_leaves"": 73, ""reg_alpha"": 0.2600807288075284, ""reg_lambda"": 0.5752228208384429, ""subsample"": 0.6611126633907757, ""subsample_freq"": 1}",PRUNED,,,,
37,0.8327,2025-11-08 18:33:15.460159,2025-11-08 18:33:17.513157,0 days 00:00:02.052998,0.5336531060293844,0.06223323662073786,512,8,94,0.08639666375352506,1.0416772739133564,670,65,0.2521369621097553,0.672286689141853,0.5789186899142511,1,0.0,0.06524999999999999,0.8327,0.0036138621999185347,"{""colsample_bytree"": 0.5336531060293844, ""learning_rate"": 0.06223323662073786, ""max_bin"": 512, ""max_depth"": 8, ""min_child_samples"": 94, ""min_child_weight"": 0.08639666375352506, ""min_split_gain"": 1.0416772739133564, ""n_estimators"": 670, ""num_leaves"": 65, ""reg_alpha"": 0.2521369621097553, ""reg_lambda"": 0.672286689141853, ""subsample"": 0.5789186899142511, ""subsample_freq"": 1}",COMPLETE,0.8327,0.06524999999999999,0.0036138621999185347,0.0
19,0.8326,2025-11-08 18:32:31.876155,2025-11-08 18:32:33.141155,0 days 00:00:01.265000,0.7166652039883901,0.05359906764876495,256,6,112,0.033511997305037296,0.7741996189360114,870,73,0.0057001421052469475,0.00020598022365449627,0.5058039766527388,5,0.0,0.04420000000000002,0.8326,0.004397726685459203,,COMPLETE,0.8326,0.04420000000000002,0.004397726685459203,0.0
6,0.8325000000000001,2025-11-08 18:31:54.733155,2025-11-08 18:31:57.076155,0 days 00:00:02.343000,0.5561087005989956,0.045115526145342345,384,5,67,0.05562887744791731,0.8404728198618717,620,55,0.0018089390092767149,0.010821382910613988,0.7077846215059572,3,0.0,0.057725000000000005,0.8325000000000001,0.0048270073544588584,,COMPLETE,0.8325000000000001,0.057725000000000005,0.0048270073544588584,0.0
48,0.8325,2025-11-08 18:33:43.321158,2025-11-08 18:33:44.339154,0 days 00:00:01.017996,0.5058088382115795,0.042042843290669644,384,5,104,0.06589468081722055,0.713619690147837,620,73,0.755922485234772,0.16732997996815044,0.7140885030772345,1,,,,,"{""colsample_bytree"": 0.5058088382115795, ""learning_rate"": 0.042042843290669644, ""max_bin"": 384, ""max_depth"": 5, ""min_child_samples"": 104, ""min_child_weight"": 0.06589468081722055, ""min_split_gain"": 0.713619690147837, ""n_estimators"": 620, ""num_leaves"": 73, ""reg_alpha"": 0.755922485234772, ""reg_lambda"": 0.16732997996815044, ""subsample"": 0.7140885030772345, ""subsample_freq"": 1}",PRUNED,,,,
1,0.8324999999999999,2025-11-08 18:31:40.048159,2025-11-08 18:31:42.584155,0 days 00:00:02.535996,0.6767211239826484,0.03749096015200834,384,6,101,0.0279335879218464,0.5720328465879864,670,71,0.0014742753159914669,0.002920433847181412,0.6044158546765377,1,0.0,0.06752500000000002,0.8324999999999999,0.003962322551231794,,COMPLETE,0.8324999999999999,0.06752500000000002,0.003962322551231794,0.0
5,0.8322,2025-11-08 18:31:52.323155,2025-11-08 18:31:53.914161,0 days 00:00:01.591006,0.6062823576360503,0.06019695236343862,384,5,84,0.03613457221522127,0.793411361572498,720,67,0.08287522363768157,0.035500125258511595,0.7031246957746222,1,0.0,0.057275000000000006,0.8322,0.0026944387170614844,,COMPLETE,0.8322,0.057275000000000006,0.0026944387170614844,0.0
40,0.8321999999999999,2025-11-08 18:33:24.461155,2025-11-08 18:33:26.634156,0 days 00:00:02.173001,0.5062265429464824,0.05657098022391347,320,7,96,0.050468914621747615,0.6332552500113756,470,79,0.774633980902842,0.04285819069805942,0.6389712550371424,1,0.0,0.06569999999999998,0.8321999999999999,0.003957271787481892,"{""colsample_bytree"": 0.5062265429464824, ""learning_rate"": 0.05657098022391347, ""max_bin"": 320, ""max_depth"": 7, ""min_child_samples"": 96, ""min_child_weight"": 0.050468914621747615, ""min_split_gain"": 0.6332552500113756, ""n_estimators"": 470, ""num_leaves"": 79, ""reg_alpha"": 0.774633980902842, ""reg_lambda"": 0.04285819069805942, ""subsample"": 0.6389712550371424, ""subsample_freq"": 1}",COMPLETE,0.8321999999999999,0.06569999999999998,0.003957271787481892,0.0
