number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
23,0.821125,2025-11-05 18:46:19.355092,2025-11-05 18:46:39.968699,0 days 00:00:20.613607,0.8701690956135095,3.213190480367871,0.014497945047105483,0,5,14,550,2.978781430599326,5.43918075069357,1.1208650015563895,0.8812019080696071,COMPLETE
24,0.82325,2025-11-05 18:46:40.748198,2025-11-05 18:46:58.555087,0 days 00:00:17.806889,0.910569398832553,3.4957139005213516,0.03203937148880445,0,6,23,550,2.2104670104277417,1.491882452563437,1.2955171783660215,0.8716412650631837,COMPLETE
25,0.8245000000000001,2025-11-05 18:46:59.392921,2025-11-05 18:47:23.950225,0 days 00:00:24.557304,0.9432161901190246,4.2133423957339815,0.018530149863094418,1,5,14,700,2.6724656973650376,2.4688303705749792,1.2056028933535983,0.7298444821386864,COMPLETE
26,0.8237499999999999,2025-11-05 18:47:24.703823,2025-11-05 18:47:49.733043,0 days 00:00:25.029220,0.9453292943920619,4.254161234677108,0.017763513172026315,1,5,15,700,2.6444471861386125,2.8987308988627265,1.221477510791006,0.7307372813719853,COMPLETE
27,0.821,2025-11-05 18:47:50.503664,2025-11-05 18:48:10.779195,0 days 00:00:20.275531,0.9168078526007312,4.69817583069783,0.014186265810942797,1,6,7,450,2.6113830123668453,5.538893226847091,1.1678492421529136,0.687487968079167,COMPLETE
28,0.8233750000000001,2025-11-05 18:48:11.532023,2025-11-05 18:48:32.088104,0 days 00:00:20.556081,0.8107636310036452,3.0029094746249876,0.02021337488733565,1,5,12,550,2.058888238975613,2.5104714208867795,1.316559639845737,0.7671714698897454,COMPLETE
29,0.817375,2025-11-05 18:48:32.842256,2025-11-05 18:48:47.502646,0 days 00:00:14.660390,0.8570676859589801,2.175024663670877,0.02323711100033281,1,5,20,400,2.3703169549333682,48.69481669347505,1.3726095690914533,0.6540617800033879,PRUNED
30,0.818125,2025-11-05 18:48:48.236701,2025-11-05 18:49:16.503539,0 days 00:00:28.266838,0.753252715522168,1.316537755030676,0.05589357489897903,2,6,7,700,1.6753563190515268,1.5885833156117497,1.2030133507966638,0.6523084544739124,PRUNED
31,0.82175,2025-11-05 18:49:17.261312,2025-11-05 18:49:37.550051,0 days 00:00:20.288739,0.882201334218529,4.318335277351423,0.02790947111081802,1,5,31,650,2.6975288244437325,2.1215060531395284,1.1412000055321256,0.7290339260581268,COMPLETE
32,0.82325,2025-11-05 18:49:38.319856,2025-11-05 18:50:01.969910,0 days 00:00:23.650054,0.9186654626921522,3.9439154393200875,0.026313595824833048,1,5,22,750,2.9858212586861628,3.441048155911589,1.0722018469550294,0.7066653533696862,COMPLETE
