mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.4342090606689455,0.04635689975600301,0.021523332595825194,0.0020551076368994664,0.8,0.2,0.03,3,5,700,0.05,2.0,1.0,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.81375,0.834375,0.8162499999999999,0.83125,0.818125,0.8227499999999999,0.008390843223419228,23
2.2749983787536623,0.05240221499587916,0.0226442813873291,0.0019811987380171764,0.7,0.3,0.05,3,5,700,0.05,2.0,1.0,0.9,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.9}",0.8143750000000001,0.833125,0.8174999999999999,0.83375,0.815,0.8227499999999999,0.008790975486258628,23
1.7366182327270507,0.04339838284372014,0.016620111465454102,0.0014657300807669775,0.8,0.2,0.07,3,3,500,0.05,2.0,1.25,0.9,"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.25, 'subsample': 0.9}",0.81125,0.836875,0.8206249999999999,0.8325,0.8125,0.8227499999999999,0.010357666242933309,23
2.368824815750122,0.024620255874008998,0.019244003295898437,0.0006416836703954659,0.7,0.1,0.05,3,7,700,0.2,4.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.8106249999999999,0.835,0.818125,0.834375,0.815,0.822625,0.010135025900312254,26
2.3794747829437255,0.02916140491327333,0.020633554458618163,0.001472527842358117,0.7,0.3,0.03,3,3,700,0.2,4.0,1.25,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.25, 'subsample': 0.8}",0.810625,0.83875,0.815,0.8325,0.81625,0.822625,0.010957303500405559,26
2.34055495262146,0.04328943391245271,0.021350622177124023,0.0015741640805473154,0.7,0.2,0.05,3,3,700,0.05,2.0,1.0,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 700, 'reg_alpha': 0.05, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.7}",0.8143750000000001,0.838125,0.8143750000000001,0.83125,0.815,0.822625,0.010088669386990531,26
1.4298938274383546,0.10493854534972419,0.021426677703857422,0.009285780337303609,0.7,0.3,0.05,4,7,300,0.2,2.0,1.0,0.8,"{'colsample_bytree': 0.7, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 7, 'n_estimators': 300, 'reg_alpha': 0.2, 'reg_lambda': 2.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.81625,0.8318749999999999,0.81375,0.829375,0.821875,0.822625,0.007086518891529157,26
2.2886722087860107,0.030326299275236775,0.019221115112304687,0.0016351493683194912,0.8,0.3,0.05,4,3,500,0.2,3.0,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 3.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.8106249999999999,0.839375,0.8125,0.830625,0.8200000000000001,0.822625,0.010935892739049703,26
1.8158545017242431,0.032190228681781945,0.01741929054260254,0.0024003397686668143,0.9,0.3,0.05,3,3,500,0.2,4.0,1.25,0.8,"{'colsample_bytree': 0.9, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.25, 'subsample': 0.8}",0.81125,0.835,0.819375,0.833125,0.8143750000000001,0.822625,0.009709853242969201,26
1.7933474063873291,0.046848102718195624,0.017720556259155272,0.0018912108051194212,0.8,0.2,0.05,3,3,500,0.2,4.0,1.0,0.8,"{'colsample_bytree': 0.8, 'gamma': 0.2, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 500, 'reg_alpha': 0.2, 'reg_lambda': 4.0, 'scale_pos_weight': 1.0, 'subsample': 0.8}",0.813125,0.8325,0.816875,0.8343750000000001,0.8162499999999999,0.822625,0.008939029589390602,26
