number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_mean_gap,user_attrs_mean_val_acc,user_attrs_std_val,state,mean_val_acc,mean_gap,std_val
374,0.834,2025-11-08 15:23:48.153886,2025-11-08 15:23:51.489887,0 days 00:00:03.336001,0.5170560835805929,0.012093409714742624,384,3,39,0.041577785677696676,0.561987403181204,1600,77,3.4052604960432124e-08,4.244082772825121e-08,0.5811542637383899,3,,,,PRUNED,,,
283,0.834,2025-11-08 15:15:14.658927,2025-11-08 15:15:18.224927,0 days 00:00:03.566000,0.5697444126992038,0.011289848207639409,320,3,37,0.03328656368125962,0.5164423565874388,1700,150,4.995532695031099,1.449115276419108e-06,0.5754391092768377,3,,,,PRUNED,,,
335,0.834,2025-11-08 15:20:04.050623,2025-11-08 15:20:08.547623,0 days 00:00:04.497000,0.9237247055617949,0.010020224098426945,448,4,37,0.08764481065862649,0.7348086040823467,1500,142,6.496691979091638e-08,5.589989321045023e-07,0.5646164021459822,3,,,,PRUNED,,,
390,0.834,2025-11-08 15:25:24.049207,2025-11-08 15:25:27.429861,0 days 00:00:03.380654,0.5790852804363783,0.010588374007192963,320,3,36,0.19531144489893573,0.709602554888294,1700,150,2.2485439964068196e-07,1.7686952601734813e-07,0.588982894827185,4,,,,PRUNED,,,
391,0.834,2025-11-08 15:25:28.235862,2025-11-08 15:25:32.146873,0 days 00:00:03.911011,0.560724889103834,0.011402620525694995,256,8,42,0.03429080720320807,0.7986664142904643,1500,88,7.279772729368623e-07,3.3681019482447204e-07,0.55104468992688,3,,,,PRUNED,,,
333,0.834,2025-11-08 15:19:49.276547,2025-11-08 15:19:55.480547,0 days 00:00:06.204000,0.5002048899157396,0.01002933990853275,448,4,38,0.11360817540586378,0.7442218355484309,1500,90,0.20039261854420215,3.721252649199642e-07,0.5703690020704344,3,0.039175,0.834,0.0025298221281347013,COMPLETE,0.834,0.039175,0.0025298221281347013
291,0.834,2025-11-08 15:15:56.107932,2025-11-08 15:15:59.201929,0 days 00:00:03.093997,0.5316652483637162,0.01205067982858465,384,3,38,0.10723476090870311,0.6958919576821937,1700,148,5.6772944222109995e-08,2.09716745710467e-06,0.5833445102167255,3,,,,PRUNED,,,
147,0.8339000000000001,2025-11-08 15:01:29.625410,2025-11-08 15:01:35.125410,0 days 00:00:05.500000,0.5325613081858079,0.0116497148407724,256,3,38,0.03475277389120428,0.5485400923190761,1900,84,1.0657705466342582e-06,1.9263144507626102e-06,0.5905030909898081,3,0.02795000000000001,0.8339000000000001,0.00529528091794949,COMPLETE,0.8339000000000001,0.02795000000000001,0.00529528091794949
252,0.8339000000000001,2025-11-08 15:12:05.455568,2025-11-08 15:12:11.332567,0 days 00:00:05.876999,0.5261418405240244,0.01229164950847759,384,3,29,0.05049728318076226,0.7131920758393819,1600,141,2.779574906314313e-07,4.0686008203936596e-08,0.5687798705729862,3,0.027925,0.8339000000000001,0.005228766584960578,COMPLETE,0.8339000000000001,0.027925,0.005228766584960578
191,0.8339000000000001,2025-11-08 15:06:01.547918,2025-11-08 15:06:07.480923,0 days 00:00:05.933005,0.5125770894565252,0.01115895093224806,384,3,35,0.04235832261540557,0.5618917085738653,1800,82,7.805841597671161e-08,1.4064705762559388e-08,0.5802037259789027,3,0.029025000000000013,0.8339000000000001,0.0035693136595149736,COMPLETE,0.8339000000000001,0.029025000000000013,0.0035693136595149736
151,0.8339000000000001,2025-11-08 15:01:56.301409,2025-11-08 15:02:01.902413,0 days 00:00:05.601004,0.543232149949142,0.01006134192321562,320,3,38,0.033590453168253036,0.490916980686834,1700,89,3.40343289114399e-07,4.0292957707813474e-07,0.5932811919231468,3,0.02587499999999998,0.8339000000000001,0.005073460357586324,COMPLETE,0.8339000000000001,0.02587499999999998,0.005073460357586324
244,0.8338000000000001,2025-11-08 15:11:20.350568,2025-11-08 15:11:26.046565,0 days 00:00:05.695997,0.5460450594997386,0.011642786558045227,384,3,37,0.05519408707669675,0.7689411266956838,1800,143,6.737816406356645e-07,2.748736524970846e-07,0.5939747067605362,3,0.026750000000000006,0.8338000000000001,0.0036138621999185533,COMPLETE,0.8338000000000001,0.026750000000000006,0.0036138621999185533
380,0.8337999999999999,2025-11-08 15:24:20.447505,2025-11-08 15:24:26.314529,0 days 00:00:05.867024,0.5202658406598221,0.010965623626393858,384,3,40,0.03215053152664076,0.8175327061235549,1700,82,8.94347448258752e-07,2.5952322314981652e-08,0.5719774217049048,3,0.028425000000000013,0.8337999999999999,0.00374966665185056,COMPLETE,0.8337999999999999,0.028425000000000013,0.00374966665185056
297,0.8337999999999999,2025-11-08 15:16:24.742930,2025-11-08 15:16:30.226927,0 days 00:00:05.483997,0.534904604342504,0.010910688276550756,320,3,43,0.0742482733186232,0.5344452204926265,1800,140,0.08950479818304809,8.745518199795756e-07,0.570383399548068,3,0.025875000000000002,0.8337999999999999,0.004478839135311731,COMPLETE,0.8337999999999999,0.025875000000000002,0.004478839135311731
222,0.8337999999999999,2025-11-08 15:09:11.767559,2025-11-08 15:09:17.130547,0 days 00:00:05.362988,0.5363697182780609,0.011164387770351997,384,3,26,0.058776700297137274,0.7364825339810925,1600,145,1.1062048725411089e-07,1.723571124184681e-07,0.5691925553811694,3,0.028600000000000004,0.8337999999999999,0.0032649655434628987,COMPLETE,0.8337999999999999,0.028600000000000004,0.0032649655434628987
306,0.8337999999999999,2025-11-08 15:17:19.367144,2025-11-08 15:17:24.952158,0 days 00:00:05.585014,0.5281297373209214,0.010992185748076932,384,3,37,0.08595311875175142,0.6900717970177065,1700,141,4.633614897652477e-07,6.759297671568959e-07,0.5589247778686396,3,0.026424999999999987,0.8337999999999999,0.0037496666518505545,COMPLETE,0.8337999999999999,0.026424999999999987,0.0037496666518505545
