feature,shap_importance,importance,shap_norm,lgbm_norm,diff
p2_lead_base_spa,0.0023557987572675183,24,0.00024610426174631606,0.0010941417825393207,0.0008480375207930047
tl_p2_damage_first2,0.04169512663946085,77,0.004355783077127423,0.003510371552313654,0.0008454115248137687
team_hp_sum_minus_p2lead_hp,0.05882510829685359,153,0.0061453083820861626,0.00697515386368817,0.0008298454816020075
tl_p2_move_type_ground_count,0.018245084462065183,24,0.0019060172386048337,0.0010941417825393207,0.0008118754560655129
p1_n_unique_types,0.015148292419882452,17,0.001582503306452478,0.0007750170959653522,0.0008074862104871258
p1_tl_unique_moves_used,0.03813931666825549,105,0.0039843167177136376,0.004786870298609528,0.0008025535808958905
p1_faster_than_lead_count,0.013115282820897363,13,0.0013701200012410715,0.0005926601322087988,0.0007774598690322728
p1_base_spa_mean,0.013223995695608117,47,0.001381476956791911,0.002142694324139503,0.000761217367347592
tl_p2_inflicted_frz_rate,0.011370924918914511,10,0.00118789139942842,0.00045589240939138365,0.0007319989900370363
tl_p1_move_type_flying_count,0.00938534918909008,6,0.000980463389025427,0.0002735354456348302,0.000706927943390597
tl_move_type_fighting_count_diff,0.0451984549849444,119,0.00472176681553478,0.005425119671757466,0.0007033528562226856
p2_lead_type_psychic,0.019754890375474506,30,0.0020637427949807977,0.0013676772281741509,0.0006960655668066468
tl_p2_move_type_water_count,0.005561240588404457,28,0.0005809685590421201,0.001276498746295874,0.000695530187253754
tl_p1_move_type_normal_count,0.05843179618741338,149,0.0061042200734897425,0.0067927968999316165,0.0006885768264418739
tl_p1_damage_first2,0.0309854514224672,56,0.003236970740254398,0.002552997492591748,0.00068397324766265
p1_setup_moves_count,0.0,15,0.0,0.0006838386140870754,0.0006838386140870754
p1_base_def_sum,0.05739399237175009,146,0.0059958033672225354,0.006656029177114201,0.0006602258098916654
p1_base_spd_sum,0.005609562251159137,27,0.0005860165993732002,0.0012309095053567357,0.0006448929059835355
p1_spe_p75,0.013247172089166256,43,0.0013838981352601362,0.0019603373603829495,0.0005764392251228134
p1_base_spe_mean,0.018155611923881397,54,0.0018966702717264615,0.0024618190107134714,0.00056514873898701
tl_move_type_normal_count_diff,0.08821401967786192,190,0.009215492673778457,0.008661955778436288,0.0005535368953421688
p1_se_options_vs_lead_bulk,0.017739633439913638,29,0.0018532140650435187,0.0013220879872350125,0.0005311260778085062
p2_lead_type_ice,0.004858533021330193,0,0.0005075584995092959,0.0,0.0005075584995092959
p1_type_normal_count,0.0038880606363225416,20,0.00040617573533188327,0.0009117848187827673,0.000505609083450884
p1_much_faster_than_lead,0.006878941671930575,5,0.0007186254159205323,0.00022794620469569182,0.0004906792112248404
tl_p1_defensive_endurance,0.1425707589114329,316,0.014894001985639806,0.014406200136767723,0.00048780184887208325
tl_p1_inflicted_par_rate,0.02254462673556135,41,0.002355179406553839,0.001869158878504673,0.000486020528049166
p1_base_hp_mean,0.029514247802505052,57,0.003083277866594317,0.0025985867335308866,0.00048469113306343027
p1_base_spa_sum,0.04935410197559956,103,0.005155896611876017,0.004695691816731251,0.00046020479514476565
tl_move_type_poison_count_diff,0.0,10,0.0,0.00045589240939138365,0.00045589240939138365
lead_p1_vs_p2_effectiveness,0.010388486386319168,14,0.0010852585624640462,0.000638249373147937,0.0004470091893161092
p1_type_water_count,0.009293220073821693,12,0.0009708388963439017,0.0005470708912696604,0.0004237680050742413
lead_diff_base_atk,0.018267592032232743,51,0.0019083685468066496,0.0023250512878960567,0.0004166827410894071
p2_lead_type_water,0.007006519223720729,7,0.0007319531159636106,0.0003191246865739685,0.0004128284293896421
tl_p2_inflicted_tox_count,0.0,9,0.0,0.00041030316845224525,0.00041030316845224525
tl_p1_move_type_fire_count,0.0,9,0.0,0.00041030316845224525,0.00041030316845224525
n_unique_types_diff,0.0,9,0.0,0.00041030316845224525,0.00041030316845224525
p1_sweep_potential,0.005044351446412936,3,0.0005269704744000945,0.0001367677228174151,0.0003902027515826794
p1_se_count_vs_lead,0.00591584145804834,5,0.0006180128035766288,0.00022794620469569182,0.0003900665988809369
speed_advantage,0.07460330969047926,179,0.007793616665501217,0.008160474128105766,0.00036685746260454923
lead_speed_advantage,0.017752196499210962,48,0.0018545264956677837,0.0021882835650786415,0.00033375706941085777
tl_inflicted_tox_diff,0.0,7,0.0,0.0003191246865739685,0.0003191246865739685
p2_lead_base_def,0.0022857186973291766,12,0.00023878317739602637,0.0005470708912696604,0.000308287713873634
p1_max_effectiveness_vs_lead,0.003099450494578077,1,0.00032379165386441864,4.5589240939138365e-05,0.0002782024129252803
tl_move_type_rock_count_diff,0.0,6,0.0,0.0002735354456348302,0.0002735354456348302
tl_p2_move_type_electric_count,0.03870340298672668,83,0.0040432453704859865,0.0037839069979484843,0.00025933837253750217
p2_lead_base_spe,0.012794141497171478,35,0.0013365711897613231,0.0015956234328698426,0.0002590522431085195
p1_vs_lead_max_effectiveness,0.0028152522006012616,1,0.00029410218607224927,4.5589240939138365e-05,0.0002485129451331109
p1_base_atk_max,0.0,5,0.0,0.00022794620469569182,0.00022794620469569182
p1_base_spd_max,0.0,5,0.0,0.00022794620469569182,0.00022794620469569182
p2_lead_type_flying,0.0,5,0.0,0.00022794620469569182,0.00022794620469569182
